기관명,url,iframe,rowXpath,paging,startPage,endPage,login,제목,상세페이지주소,작성일,작성자,제외항목,use,지역,등록,담당업체,담당자,oid
관악구,https://www.gwanak.go.kr/site/gwanak/ex/bbsNew/List.do?typeCode=1&pageIndex=${i},,"//*[@id=""boardDivId""]/table/tbody/tr","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-onclick|-""https://www.gwanak.go.kr/site/gwanak/ex/bbsNew/View.do?typeCode=1&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[7],td[6],,1,서울,1,일맥,전영서,11
광주시청,https://www.gjcity.go.kr/portal/saeol/gosi/list.do?mId=0202010000&token=1702623407956&page=${i},,"//*[@id=""list""]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-data-action|-""https://www.gjcity.go.kr"" + rst",td[5],td[4],,0,경기,1,일맥,전영서,12
광진구,https://www.gwangjin.go.kr/portal/bbs/B0000003/list.do?menuNo=200192&pageIndex=${i},,"//*[@id=""content""]/div[2]/table//tr",,1,3,,td[4]/a,"td[4]/a|-href|-""https://www.gwangjin.go.kr"" + rst.split(""&pageIndex"")[0]",td[6],td[5],,1,서울,1,일맥,전영서,13
구로구,https://www.guro.go.kr/www/selectBbsNttList.do?bbsNo=663&key=1791,,"//*[@id=""board""]/div/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.guro.go.kr/www/"" + rst.split(""/"")[1].split(""&rowNum"")[0] + ""&key=1791""",td[5],td[4],,1,서울,1,일맥,전영서,14
국가철도공단,https://ebid.kr.or.kr/krn/krnBidList.do?pageIndex=${i},,/html/body/section/article[2]/div[1]/div[2]/table/tbody/tr,,1,3,,td[4]/a,"td[4]/a|-href|-""https://ebid.kr.or.kr/krn/krnBidDetail.do?gyErBeonho="" + rst.split(""'"")[1] + ""&ggNyeondo="" + rst.split(""'"")[3] + ""&ggGubun="" + rst.split(""'"")[5] + ""&ggIrBeonho="" + rst.split(""'"")[7] + ""&ggChasu="" + rst.split(""'"")[9]",td[6],td[8],,1,전국,1,"일맥,링크",전영서,15
국방과학연구소,https://www.add.re.kr/board,,,,1,3,,,,,,,0,전국,1,"일맥,링크",전영서,16
군포시청,https://www.gunpo.go.kr/www/selectEminwonNoticeList.do?key=3907&Not_ancmt_se_code=01&list_gubun=N&ofr_pageSize=10&notAncmtSeCd=01&pageUnit=10&pageIndex=${i},,"//*[@id=""contents""]/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.gunpo.go.kr/www"" + rst[1:].split(""&pageIndex"")[0]",td[5],td[4],,1,경기,0,일맥,전영서,17
금산군청,https://www.geumsan.go.kr/kr/html/sub03/030302.html?site_dvs_cd=kr&menu_dvs_cd=030302&GotoPage=${i},,"//div[@id=""txt""]/div[1]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.geumsan.go.kr"" + rst",td[5],td[4],,0,충남,1,일맥,전영서,18
금천구,https://www.geumcheon.go.kr/portal/tblSeolGosiDetailList.do?key=294&rep=1,,"//*[@id=""contents""]/div/div/div/fieldset/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.geumcheon.go.kr/portal/"" + rst.split(""/"")[1]",td[5],td[4],,1,서울,1,일맥,전영서,19
남양주시청,https://www.nyj.go.kr/www/selectEminwonWebList.do?key=2492&sa1=01&sa1=02&sa1=04&sa1=05&cpn=${i},,//table/tbody/tr,,1,5,,td[2]/a,"td[2]/a|-href|-""https://www.nyj.go.kr/www/"" + rst.split(""&cpn="")[0] + ""&key="" + rst.split(""&key="")[1]",td[4],td[3],,1,경기,1,일맥,전영서,20
넥스트레인,http://www.nextrain.co.kr/board/etc/list,,/html/body/div/div[2]//tr,"//ul[@class=""pagination""]/li/a[contains(text(),""${i}"")]",1,2,,td[3]/a,"td[3]/a|-href|-""http://www.nextrain.co.kr"" + rst",td[2],td[4],,1,전국,1,"일맥,링크",전영서,21
노원구,https://www.nowon.kr/www/user/bbs/BD_selectBbsList.do?q_bbsCode=1003&q_clCode=0&q_estnColumn1=11&q_ntceSiteCode=11&q_currPage=${i},,"//*[@id=""printArea""]/div[2]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.nowon.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1003&q_estnColumn7=&q_estnColumn1=11&q_ntceSiteCode=11&q_clCode=0&q_rowPerPage=10&q_searchKeyTy=sj___1002&q_bbscttSn="" + rst.split(""'"")[1]",td[4],td[3],,1,서울,1,일맥,전영서,22
논산시청,"https://eminwon.nonsan21.net/emwp/jsp/ofr/OfrNotAncmtLSub.jsp?not_ancmt_se_code=01,05,04,06&list_gubun=Y&ofr_pageSize=10&epcCheck=Y&last_mm=60&pageIndex=${i}",,//body/form/div/table/tbody/tr,,1,3,,td[2]/a,"td[2]/a|-href|-""https://eminwon.nonsan21.net/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&initValue=Y&countYn=Y&Key=B_Subject&subCheck=Y&not_ancmt_se_code=01%2C05%2C04%2C06&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[4],td[3],,0,충남,1,일맥,전영서,23
당진시청,"https://eminwon.dangjin.go.kr/emwp/jsp/ofr/OfrNotAncmtL.jsp?not_ancmt_se_code=01,02,03,04,05,06&list_gubun=A&pageIndex=${i}",,/html/body/form/table[3]/tbody/tr/td/table[1]/tbody/tr[count(child::td) >= 5][position() > 1],,1,3,,td[3]/p/a,"td[1]/a|-onclick|-""http://eminwon.dangjin.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=N&not_ancmt_se_code=01%2C02%2C03%2C04%2C05%2C06&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,0,충남,1,일맥,전영서,24
도봉구,"https://dobong.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?not_ancmt_se_code=01,02,04,05,06&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&pageIndex=${i}",,//table//tr[@onmouseover],,1,5,,td[3]//a,"td[3]//a|-onclick|-""https://dobong.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,1,서울,1,일맥,전영서,25
동대문구,"https://www.ddm.go.kr/www/selectEminwonWebList.do?key=3291&searchNotAncmtSeCode=01,02,04,05,06,07&pageIndex=${i}",,"//*[@id=""contents""]/div/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.ddm.go.kr/www/selectEminwonWebView.do?key"" + rst.split(""&key"")[1]",td[5],td[3],,1,서울,1,일맥,전영서,26
동작구,"https://dongjak.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?not_ancmt_se_code=01,02,04,05,06&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&pageIndex=${i}",,//tr[count(td) >= 3][position() > 5],,1,3,,td[3]/p,"td[3]|-onclick|-""https://dongjak.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,서울,1,일맥,전영서,27
마포구,https://www.mapo.go.kr/site/main/nPortal/list,,"//*[@id=""container""]/div[3]/div[3]/div[3]/table/tbody/tr[position() > 1]","//div[@class=""bbs_paging""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.mapo.go.kr"" + rst",td[6],td[5],,1,서울,1,일맥,전영서,28
보령시청,https://www.brcn.go.kr/prog/eminwon/kor/BB/sub04_03_01/list.do?pageIndex=${i},,"//div[@id=""contents""]/table[1]/tbody/tr",,1,3,,td[2]/div/span/a[1],"td[2]/div/span/a[1]|-onclick|-rst.split(""'"")[1]",td[4],td[3],,0,충남,1,일맥,전영서,29
부여군청,https://www.buyeo.go.kr/html/kr/news/news_040202.html?&GotoPage=${i},,"//*[@id=""txt""]/div[1]/div/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.buyeo.go.kr"" + rst.split(""&GotoPage"")[0]",td[5],td[4],,0,충남,1,일맥,전영서,30
부천시청,http://eminwon.bucheon.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=10&not_ancmt_se_code=01%2C02%2C03%2C04&countYn=Y&epcCheck=Y&Key=B_Subject&pageIndex=${i},,/html/body/form/div[3]/table/tbody/tr,,1,3,,td[3]/a,"td[3]/a|-onclick|-""http://eminwon.bucheon.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?epcCheck=&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,경기,0,일맥,전영서,31
새만금개발청,https://www.saemangeum.go.kr/sda/brd/list.do?key=2009075580577&pageIndex=${i},,"//*[@id=""wrapper""]/main/div[2]/div/section/table/tbody/tr",,1,3,,td[1]/a,"td[1]/a|-onclick|-""https://www.saemangeum.go.kr/sda/brd/view.do?nttSn="" + rst.split(""'"")[1] + ""&key=2009075580577""",td[3],,,1,전국,1,,,32
서대문구,https://www.sdm.go.kr/news/notice/notice.do?cp=${i},,"//*[@id=""frm""]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-href|-""https://www.sdm.go.kr/news/notice/notice.do?sdmBoardConfSeq=82&mode=view&cp=1&sdmBoardSeq="" + rst.split(""'"")[1]",td[4],td[3],,1,서울,1,일맥,전영서,33
서산시청,https://www.seosan.go.kr/common/program/eminwonView.jsp?pageIndex=${i}&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=30,,//body/form/table[1]/tbody/tr,,1,1,,td[3]/a,"td[1]|-onclick|-""https://www.seosan.go.kr/common/program/eminwonView.jsp?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_se_code=01%2C04&mobile_code=00&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,0,충남,1,일맥,전영서,34
서울시,https://www.seoul.go.kr/news/news_notice.do#list/${i},,"//*[@id=""seoul-integrated-board""]//tr",,1,3,,td[2]/a,"td[2]/a|-data-code|-""https://www.seoul.go.kr/news/news_notice.do#view/"" + rst",td[5],td[4],,1,서울,1,일맥,전영서,35
서울주택도시공사,"https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/list.do?multi_itm_seqs=1,2,4,8,16,32,64,128,256,512&page=${i}",,"//*[@id=""listTb""]/table/tbody/tr",,1,3,,td[2]/a,"td[2]/a|-onclick|-""https://www.i-sh.co.kr/main/lay2/program/S1T294C295/www/brd/m_241/view.do?&itm_seq_1=0&multi_itm_seq=0&notType1=0&annType1=on&srchTp=0&seq="" + rst.split(""'"")[1]",td[4],td[3],,1,서울,0,일맥,전영서,36
서울중부교육지원청,https://jbedu.sen.go.kr/CMS/school/school07/school0701/index.html,,"//div[@class=""table_list02""]/table//tr[position() > 1]",,1,1,,td[2]/a,td[2]/a|-href|-rst,td[4],td[3],,1,서울,1,일맥,전영서,37
서울특별시강남서초교육지원청,https://gnscedu.sen.go.kr/CMS/openedu/openedu02/openedu0201/index.html,,"//*[@id=""contents""]/div[3]/table/tbody/tr","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[5],td[4],"td[1]/b|-|-""공지"" in rst",1,서울,1,일맥,전영서,38
서울특별시강동송파교육지원청,https://gdspedu.sen.go.kr/CMS/workspace/workspace05/workspace0502/index.html,,"//*[@id=""contents""]/div[3]/table/tbody/tr","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[4],td[3],"td[1]/b|-|-""공지"" in rst",1,서울,1,일맥,전영서,39
서울특별시강서양천교육지원청,http://gsycedu.sen.go.kr/CMS/official/official05/official0507/index.html,,"//div[@class=""table_list02""]//tr[position() > 1]","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[4],td[3],,1,서울,1,일맥,전영서,40
서울특별시남부교육지원청,https://nbedu.sen.go.kr/CMS/admininfo/admininfo01/admininfo0102/index.html,,"//div[@class=""table_list02""]//tr[position() > 1]","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[4],td[3],"td[1]/strong|-|-""공지"" in rst",1,서울,1,일맥,전영서,41
서울특별시동부교육지원청,https://dbedu.sen.go.kr/CMS/school/school04/school0407/school040701/index.html,,"//*[@id=""contents""]/div/table/tbody/tr","//*[@id=""contents""]/div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[4],td[3],,1,서울,0,일맥,전영서,42
서울특별시북부교육지원청,https://bbedu.sen.go.kr/CMS/notice/notice01/index.html,,"//*[@id=""contents""]/div[4]/table/tbody/tr[position() > 1]","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[5],td[4],"td[1]/b|-|-""공지"" in rst",1,서울,0,일맥,전영서,43
서울특별시서부교육지원청,https://sbedu.sen.go.kr/CMS/admininfo/admininfo01/admininfo0107/index.html,,"//div[@class=""table_list02""]//tr[position() > 1]","//div[@class=""paging""]/a[contains(text(),""${i}"")]",1,1,,td[2]//a,td[2]//a|-href|-rst,td[4],td[3],"td[1]/strong|-|-""공지"" in rst",1,서울,1,일맥,전영서,44
서천군청,https://eminwon.seocheon.go.kr/emwp/jsp/ofr/OfrNotAncmtLSub.jsp?not_ancmt_se_code=01&pageIndex=${i},,//body/form/table[2]/tbody/tr/td/table[1]/tbody/tr[count(child::td) = 5][position() > 1],,1,3,,td[3]/p,"td[1]|-onclick|-""http://eminwon.seocheon.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,0,충남,1,일맥,전영서,45
서초구,"https://eminwon.seocho.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?not_ancmt_se_code=01,02,04,05,06&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&homepage_pbs_yn=Y&subCheck=Y&pageIndex=${i}",,//table//tr,,1,3,,td[3]/a,"td[3]/a|-onclick|-""https://eminwon.seocho.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?epcCheck=&pageIndex=&jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,서울,1,일맥,전영서,46
성동구,https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=184&key=1473,,"//*[@id=""board""]/div/div/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://www.sd.go.kr/main/"" + rst.split(""/"")[1].split(""&pageIndex"")[0]",td[3]/time,,,1,서울,1,일맥,전영서,47
성북구,https://www.sb.go.kr/www/selectEminwonList.do?key=6977&notAncmtSeCode=01&pageUnit=30&pageIndex=${i},,"//*[@id=""contents""]/div[1]/form[2]/fieldset/table/tbody/tr",,1,1,,td[3]/a,"td[3]/a|-href|-""https://www.sb.go.kr/www/"" + rst.split(""./"")[1].split(""&pageIndex"")[0] + rst.split(""./"")[1].split(""&pageIndex"")[1][2:]",td[5],td[4],,1,서울,1,일맥,전영서,48
세종특별시자치시,https://www.sejong.go.kr/prog/publicNotice/kor/sub02_0302/C2/list.do?pageIndex=${i},,"//div[@id=""txt""]/div[2]/table/tbody/tr",,1,3,,td[3]/a[1],"td[3]/a[1]|-href|-""https://www.sejong.go.kr"" + rst.split(""&pageIndex"")[0]","td[5]|-|-"""" if not ""~"" in rst else rst.split(""~"")[0].strip()",td[4],,0,충남,1,일맥,전영서,49
송파구,https://www.songpa.go.kr/www/selectGosiList.do?key=2776,,"//*[@id=""contents""]/div/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.songpa.go.kr/www/"" + rst.split(""/"")[1].split(""&searchCnd"")[0]",td[5],td[4],,1,서울,1,일맥,전영서,50
수원시청,https://www.suwon.go.kr/web/saeallOfr/BD_ofrList.do?q_currPage=${i},,"//*[@id=""contents""]/div[1]/div/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.suwon.go.kr/web/saeallOfr/"" + rst.split(""&q_currPage"")[0]",td[5],td[4],,1,경기,1,일맥,전영서,51
수자원공사,https://www.kwater.or.kr/news/sub01/noti01List.do?brdId=KO27&s_mid=105&pageNo=${i},,"//*[@id=""contents""]/div[3]/table/tbody/tr",,1,3,,td[4]/a,"td[4]/a|-href|-""https://www.kwater.or.kr"" + rst.split(""&pageNo"")[0]",td[7],td[6],,1,전국,1,"일맥,링크",전영서,52
아산시청,"https://eminwon.asan.go.kr/emwp/jsp/ofr/OfrNotAncmtLSub.jsp?not_ancmt_se_code=01,04,06,07&ofr_pageSize=30&epcCheck=Y&pageIndex=${i}",,//tbody/tr[count(child::td) >= 5][position() > 1],,1,3,,td[3]/p/a,"td[1]/a|-onclick|-""https://eminwon.asan.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=10&not_ancmt_se_code=01%2C04%2C06%2C07&Key=B_Subject&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/a,td[4]/a,,0,충남,1,일맥,전영서,53
안산시청,https://www.ansan.go.kr/www/common/bbs/selectPageListBbs.do?bbs_code=WWW13,,"//*[@id=""aform""]/fieldset[2]/table/tbody/tr","//*[@id=""aform""]/div[2]/span[2]/a[contains(text(),""${i}"")]",1,5,,td[3]/a,"td[3]/a|-onclick|-""https://www.ansan.go.kr/www/common/bbs/selectBbsDetail.do?key=271&bbs_code=WWW13&sch_type=sj&sch_text=&&bbs_seq="" + rst.split(""("")[1].split("")"")[0].strip()",td[5],td[4],,1,경기,0,일맥,전영서,54
양주시청,"https://eminwon.yangju.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectListOfrNotAncmt&methodnm=selectListOfrNotAncmtHomepage&not_ancmt_mgt_no=&homepage_pbs_yn=Y&subCheck=Y&ofr_pageSize=10&not_ancmt_se_code=01,03,04&cha_dep_code_nm=&initValue=&countYn=Y&list_gubun=&not_ancmt_sj=&not_ancmt_cn=&dept_nm=&Key=B_Subject&pageIndex=${i}",,"//*[@id=""list2""]/tbody/tr",,1,1,,td[3]/a/p,"td[3]/a|-onclick|-""https://eminwon.yangju.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do?jndinm=OfrNotAncmtEJB&context=NTIS&method=selectOfrNotAncmt&methodnm=selectOfrNotAncmtRegst&subCheck=Y&not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5]/p,td[4]/p,,1,경기,0,일맥,전영서,55
양천구,https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolCollectList.do?pageIndex=${i},,//tr,,1,3,,td[3]/a,"td[3]/a|-href|-""https://www.yangcheon.go.kr/site/yangcheon/ex/seol/seolContentDeailView.do;jsessionid=YEfHe23M8znZad0sX66VQdbYwZG1xUasWBI1OJUvMVARVZlInMzMlHQdxt7dPEFR.YCWEB_servlet_engine3?not_ancmt_mgt_no="" + rst.split(""'"")[1]",td[5],td[4],,1,서울,1,일맥,전영서,56
영등포구,https://www.ydp.go.kr/www/selectEminwonList.do?menuFlag=01&key=2851,,"//*[@id=""contents""]/div[2]/table/tbody/tr","//span[@class=""p-page__link-group""]/a[contains(text(),""${i}"")]",1,3,,td[2]/a,"td[2]/a|-href|-""https://www.ydp.go.kr/www/"" + rst.split(""/"")[1]",td[4],td[3],,1,서울,1,일맥,전영서,57
예산군청,https://www.yesan.go.kr/prog/saeolGosi/02/kor/sub04_03_03/list.do?pageIndex=${i},,"//*[@id=""txt""]/div[1]/table/tbody/tr",,1,3,,td[3]//strong,"td[3]/button|-data-list-no|-""https://www.yesan.go.kr/prog/saeolGosi/02/kor/sub04_03_03/view.do?notAncmtMgtNo="" + rst",td[5],td[4],,0,충남,1,일맥,전영서,58
오산시청,https://www.osan.go.kr/portal/saeol/gosi/list.do?mId=0302010000?page=${i},,"//*[@id=""list""]/table/tbody/tr",,1,3,,td[3]/a,"td[3]/a|-data-action|-""https://www.osan.go.kr"" + rst",td[5],td[4],,0,경기,0,일맥,전영서,59
용산구,https://www.yongsan.go.kr/portal/bbs/B0000095/list.do?menuNo=200233,,"//*[@id=""content""]/div[3]/table/tbody/tr","//div[@class=""paginationSet""]//li/a/span[contains(text(),""${i}"")]",1,3,,td[3]/a,"td[3]/a|-href|-""https://www.yongsan.go.kr"" + rst.split(""&pageUnit"")[0]",td[6],td[5],,1,서울,1,일맥,전영서,60
